"","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","dateTime"
"66681","0.322","0.124","242.600","1.400","0.000","0.000",0,2007-02-01 00:44:00
"66682","0.322","0.128","243.330","1.400","0.000","0.000",0,2007-02-01 00:45:00
"66683","0.318","0.118","241.320","1.400","0.000","0.000",0,2007-02-01 00:46:00
"66684","0.316","0.116","240.930","1.400","0.000","0.000",0,2007-02-01 00:47:00
"66685","0.316","0.116","240.930","1.400","0.000","0.000",0,2007-02-01 00:48:00
"66686","0.274","0.058","240.360","1.200","0.000","0.000",0,2007-02-01 00:49:00
"66687","0.222","0.000","240.930","1.000","0.000","0.000",0,2007-02-01 00:50:00
"66688","0.222","0.000","240.830","1.000","0.000","0.000",0,2007-02-01 00:51:00
"66689","0.222","0.000","240.520","1.000","0.000","0.000",0,2007-02-01 00:52:00
"66690","0.224","0.000","241.450","1.000","0.000","0.000",0,2007-02-01 00:53:00
"66691","0.224","0.000","241.590","1.000","0.000","0.000",0,2007-02-01 00:54:00
"66692","0.226","0.000","242.550","1.000","0.000","0.000",0,2007-02-01 00:55:00
"66693","0.226","0.000","242.880","1.000","0.000","0.000",0,2007-02-01 00:56:00
"66694","0.226","0.000","242.630","1.000","0.000","0.000",0,2007-02-01 00:57:00
"66695","0.224","0.000","242.200","1.000","0.000","0.000",0,2007-02-01 00:58:00
"66696","0.224","0.000","241.840","1.000","0.000","0.000",0,2007-02-01 00:59:00
"66697","0.222","0.000","240.890","1.000","0.000","0.000",0,2007-02-01 01:00:00
"66698","0.222","0.000","240.860","1.000","0.000","0.000",0,2007-02-01 01:01:00
"66699","0.260","0.000","240.640","1.200","0.000","0.000",0,2007-02-01 01:02:00
"66700","0.298","0.088","240.720","1.200","0.000","0.000",0,2007-02-01 01:03:00
"66701","0.302","0.094","242.180","1.200","0.000","0.000",0,2007-02-01 01:04:00
"66702","0.302","0.096","242.660","1.200","0.000","0.000",0,2007-02-01 01:05:00
"66703","0.302","0.096","242.770","1.200","0.000","0.000",0,2007-02-01 01:06:00
"66704","0.300","0.096","242.600","1.200","0.000","0.000",0,2007-02-01 01:07:00
"66705","0.298","0.094","242.380","1.200","0.000","0.000",0,2007-02-01 01:08:00
"66706","0.298","0.094","242.210","1.200","0.000","0.000",0,2007-02-01 01:09:00
"66707","0.296","0.096","242.610","1.200","0.000","0.000",0,2007-02-01 01:10:00
"66708","0.296","0.094","242.240","1.200","0.000","0.000",0,2007-02-01 01:11:00
"66709","0.258","0.000","242.660","1.000","0.000","0.000",0,2007-02-01 01:12:00
"66710","0.226","0.000","242.990","1.000","0.000","0.000",0,2007-02-01 01:13:00
"66711","0.228","0.000","243.530","1.000","0.000","0.000",0,2007-02-01 01:14:00
"66712","0.316","0.088","243.120","1.400","0.000","0.000",0,2007-02-01 01:15:00
"66713","0.434","0.252","242.830","2.200","0.000","0.000",0,2007-02-01 01:16:00
"66714","0.418","0.254","243.080","2.000","0.000","2.000",0,2007-02-01 01:17:00
"66715","0.414","0.254","243.350","2.000","0.000","1.000",0,2007-02-01 01:18:00
"66716","0.412","0.252","242.710","2.000","0.000","1.000",0,2007-02-01 01:19:00
"66717","0.410","0.246","241.630","2.000","0.000","2.000",0,2007-02-01 01:20:00
"66718","0.408","0.246","241.860","2.000","0.000","1.000",0,2007-02-01 01:21:00
"66719","0.408","0.248","242.170","2.000","0.000","2.000",0,2007-02-01 01:22:00
"66720","0.404","0.244","241.700","2.000","0.000","1.000",0,2007-02-01 01:23:00
"66721","0.402","0.242","241.140","1.800","0.000","1.000",0,2007-02-01 01:24:00
"66722","0.402","0.244","241.410","1.800","0.000","2.000",0,2007-02-01 01:25:00
"66723","0.402","0.246","241.950","1.800","0.000","1.000",0,2007-02-01 01:26:00
"66724","0.402","0.248","242.360","1.800","0.000","2.000",0,2007-02-01 01:27:00
"66725","0.402","0.250","242.600","1.800","0.000","1.000",0,2007-02-01 01:28:00
"66726","0.398","0.246","242.110","1.800","0.000","1.000",0,2007-02-01 01:29:00
"66727","0.336","0.156","241.880","1.600","0.000","2.000",0,2007-02-01 01:30:00
"66728","0.300","0.104","240.780","1.200","0.000","1.000",0,2007-02-01 01:31:00
"66729","0.300","0.104","240.680","1.200","0.000","1.000",0,2007-02-01 01:32:00
"66730","0.300","0.106","240.870","1.200","0.000","2.000",0,2007-02-01 01:33:00
"66731","0.298","0.106","241.000","1.200","0.000","1.000",0,2007-02-01 01:34:00
"66732","0.298","0.106","240.970","1.200","0.000","1.000",0,2007-02-01 01:35:00
"66733","0.298","0.106","241.090","1.200","0.000","1.000",0,2007-02-01 01:36:00
"66734","0.298","0.106","241.100","1.200","0.000","2.000",0,2007-02-01 01:37:00
"66735","0.298","0.106","241.210","1.200","0.000","1.000",0,2007-02-01 01:38:00
"66736","0.296","0.106","241.270","1.200","0.000","1.000",0,2007-02-01 01:39:00
"66737","0.296","0.108","241.400","1.200","0.000","1.000",0,2007-02-01 01:40:00
"66738","0.296","0.108","241.610","1.200","0.000","1.000",0,2007-02-01 01:41:00
"66739","0.296","0.106","241.370","1.200","0.000","2.000",0,2007-02-01 01:42:00
"66740","0.294","0.106","240.990","1.200","0.000","1.000",0,2007-02-01 01:43:00
"66741","0.294","0.106","241.270","1.200","0.000","1.000",0,2007-02-01 01:44:00
"66742","0.242","0.000","241.260","1.000","0.000","0.000",0,2007-02-01 01:45:00
"66743","0.224","0.000","241.760","1.000","0.000","0.000",0,2007-02-01 01:46:00
"66744","0.224","0.000","242.380","1.000","0.000","0.000",0,2007-02-01 01:47:00
"66745","0.224","0.000","242.150","1.000","0.000","0.000",0,2007-02-01 01:48:00
"66746","0.288","0.050","241.690","1.400","0.000","0.000",0,2007-02-01 01:49:00
"66747","0.298","0.088","241.020","1.200","0.000","0.000",0,2007-02-01 01:50:00
"66748","0.298","0.088","240.750","1.200","0.000","0.000",0,2007-02-01 01:51:00
"66749","0.298","0.088","241.060","1.200","0.000","0.000",0,2007-02-01 01:52:00
"66750","0.300","0.090","241.570","1.200","0.000","0.000",0,2007-02-01 01:53:00
"66751","0.300","0.094","242.290","1.200","0.000","0.000",0,2007-02-01 01:54:00
"66752","0.300","0.096","242.770","1.200","0.000","0.000",0,2007-02-01 01:55:00
"66753","0.386","0.190","242.480","1.800","0.000","0.000",0,2007-02-01 01:56:00
"66754","0.406","0.228","242.240","1.800","0.000","0.000",0,2007-02-01 01:57:00
"66755","0.398","0.222","242.110","1.800","0.000","0.000",0,2007-02-01 01:58:00
"66756","0.326","0.116","240.550","1.400","0.000","0.000",0,2007-02-01 01:59:00
"66757","0.324","0.116","240.330","1.400","0.000","0.000",0,2007-02-01 02:00:00
"66758","0.328","0.126","242.570","1.400","0.000","0.000",0,2007-02-01 02:01:00
"66759","0.328","0.130","243.120","1.400","0.000","0.000",0,2007-02-01 02:02:00
"66760","0.326","0.128","243.050","1.400","0.000","0.000",0,2007-02-01 02:03:00
"66761","0.324","0.128","243.090","1.400","0.000","0.000",0,2007-02-01 02:04:00
"66762","0.322","0.124","242.070","1.400","0.000","0.000",0,2007-02-01 02:05:00
"66763","0.322","0.124","242.210","1.400","0.000","0.000",0,2007-02-01 02:06:00
"66764","0.322","0.126","242.470","1.400","0.000","0.000",0,2007-02-01 02:07:00
"66765","0.322","0.126","242.570","1.400","0.000","0.000",0,2007-02-01 02:08:00
"66766","0.322","0.128","243.080","1.400","0.000","0.000",0,2007-02-01 02:09:00
"66767","0.322","0.130","243.280","1.400","0.000","0.000",0,2007-02-01 02:10:00
"66768","0.242","0.000","243.520","1.000","0.000","0.000",0,2007-02-01 02:11:00
"66769","0.228","0.000","244.090","1.000","0.000","0.000",0,2007-02-01 02:12:00
"66770","0.228","0.000","244.020","1.000","0.000","0.000",0,2007-02-01 02:13:00
"66771","0.228","0.000","244.020","1.000","0.000","0.000",0,2007-02-01 02:14:00
"66772","0.226","0.000","243.250","1.000","0.000","0.000",0,2007-02-01 02:15:00
"66773","0.226","0.000","243.060","1.000","0.000","0.000",0,2007-02-01 02:16:00
"66774","0.228","0.000","243.380","1.000","0.000","0.000",0,2007-02-01 02:17:00
"66775","0.228","0.000","243.910","1.000","0.000","0.000",0,2007-02-01 02:18:00
"66776","0.228","0.000","243.930","1.000","0.000","0.000",0,2007-02-01 02:19:00
"66777","0.228","0.000","243.550","1.000","0.000","0.000",0,2007-02-01 02:20:00
"66778","0.228","0.000","243.450","1.000","0.000","0.000",0,2007-02-01 02:21:00
"66779","0.226","0.000","242.420","1.000","0.000","0.000",0,2007-02-01 02:22:00
"66780","0.226","0.000","243.140","1.000","0.000","0.000",0,2007-02-01 02:23:00
"66781","0.228","0.000","243.370","1.000","0.000","0.000",0,2007-02-01 02:24:00
"66782","0.228","0.000","243.530","1.000","0.000","0.000",0,2007-02-01 02:25:00
"66783","0.226","0.000","243.220","1.000","0.000","0.000",0,2007-02-01 02:26:00
"66784","0.228","0.000","243.570","1.000","0.000","0.000",0,2007-02-01 02:27:00
"66785","0.228","0.000","243.760","1.000","0.000","0.000",0,2007-02-01 02:28:00
"66786","0.226","0.000","243.360","1.000","0.000","0.000",0,2007-02-01 02:29:00
"66787","0.226","0.000","243.170","1.000","0.000","0.000",0,2007-02-01 02:30:00
"66788","0.228","0.000","243.580","1.000","0.000","0.000",0,2007-02-01 02:31:00
"66789","0.228","0.000","244.100","1.000","0.000","0.000",0,2007-02-01 02:32:00
"66790","0.230","0.000","244.550","1.000","0.000","0.000",0,2007-02-01 02:33:00
"66791","0.230","0.000","244.980","1.000","0.000","0.000",0,2007-02-01 02:34:00
"66792","0.228","0.000","244.360","1.000","0.000","0.000",0,2007-02-01 02:35:00
"66793","0.292","0.060","244.420","1.400","0.000","0.000",0,2007-02-01 02:36:00
"66794","0.388","0.190","243.850","1.800","0.000","0.000",0,2007-02-01 02:37:00
"66795","0.416","0.238","243.830","2.000","0.000","0.000",0,2007-02-01 02:38:00
"66796","0.416","0.244","243.730","2.000","0.000","0.000",0,2007-02-01 02:39:00
"66797","0.436","0.276","244.660","2.000","0.000","0.000",0,2007-02-01 02:40:00
"66798","0.436","0.280","245.020","2.000","0.000","0.000",0,2007-02-01 02:41:00
"66799","0.432","0.280","245.060","2.000","0.000","0.000",0,2007-02-01 02:42:00
"66800","0.426","0.272","244.040","2.000","0.000","0.000",0,2007-02-01 02:43:00
"66801","0.424","0.270","243.580","2.000","0.000","0.000",0,2007-02-01 02:44:00
"66802","0.420","0.268","243.420","2.000","0.000","0.000",0,2007-02-01 02:45:00
"66803","0.350","0.160","243.190","1.600","0.000","0.000",0,2007-02-01 02:46:00
"66804","0.350","0.164","243.900","1.600","0.000","0.000",0,2007-02-01 02:47:00
"66805","0.348","0.162","243.600","1.600","0.000","0.000",0,2007-02-01 02:48:00
"66806","0.346","0.160","243.040","1.600","0.000","0.000",0,2007-02-01 02:49:00
"66807","0.346","0.162","243.440","1.600","0.000","0.000",0,2007-02-01 02:50:00
"66808","0.346","0.162","243.350","1.600","0.000","0.000",0,2007-02-01 02:51:00
"66809","0.256","0.000","243.340","1.000","0.000","0.000",0,2007-02-01 02:52:00
"66810","0.252","0.000","243.210","1.000","0.000","0.000",0,2007-02-01 02:53:00
"66811","0.252","0.000","242.960","1.000","0.000","0.000",0,2007-02-01 02:54:00
"66812","0.252","0.000","243.330","1.000","0.000","0.000",0,2007-02-01 02:55:00
"66813","0.252","0.000","243.160","1.000","0.000","0.000",0,2007-02-01 02:56:00
"66814","0.250","0.000","242.770","1.000","0.000","0.000",0,2007-02-01 02:57:00
"66815","0.252","0.000","243.360","1.000","0.000","0.000",0,2007-02-01 02:58:00
"66816","0.252","0.000","243.380","1.000","0.000","0.000",0,2007-02-01 02:59:00
"66817","0.252","0.000","243.500","1.000","0.000","0.000",0,2007-02-01 03:00:00
"66818","0.252","0.000","243.570","1.000","0.000","0.000",0,2007-02-01 03:01:00
"66819","0.254","0.000","244.240","1.000","0.000","0.000",0,2007-02-01 03:02:00
"66820","0.254","0.000","244.220","1.000","0.000","0.000",0,2007-02-01 03:03:00
"66821","0.254","0.000","243.990","1.000","0.000","0.000",0,2007-02-01 03:04:00
"66822","0.252","0.000","243.440","1.000","0.000","0.000",0,2007-02-01 03:05:00
"66823","0.252","0.000","243.400","1.000","0.000","0.000",0,2007-02-01 03:06:00
"66824","0.252","0.000","243.490","1.000","0.000","0.000",0,2007-02-01 03:07:00
"66825","0.252","0.000","243.550","1.000","0.000","0.000",0,2007-02-01 03:08:00
"66826","0.252","0.000","243.190","1.000","0.000","0.000",0,2007-02-01 03:09:00
"66827","0.254","0.000","243.740","1.000","0.000","0.000",0,2007-02-01 03:10:00
"66828","0.254","0.000","244.110","1.000","0.000","0.000",0,2007-02-01 03:11:00
"66829","0.250","0.000","242.840","1.000","0.000","0.000",0,2007-02-01 03:12:00
"66830","0.250","0.000","242.810","1.000","0.000","0.000",0,2007-02-01 03:13:00
"66831","0.250","0.000","242.480","1.000","0.000","0.000",0,2007-02-01 03:14:00
"66832","0.250","0.000","242.500","1.000","0.000","0.000",0,2007-02-01 03:15:00
"66833","0.250","0.000","242.760","1.000","0.000","0.000",0,2007-02-01 03:16:00
"66834","0.250","0.000","242.920","1.000","0.000","0.000",0,2007-02-01 03:17:00
"66835","0.368","0.150","242.490","1.600","0.000","0.000",0,2007-02-01 03:18:00
"66836","0.360","0.158","242.860","1.600","0.000","0.000",0,2007-02-01 03:19:00
"66837","0.358","0.162","243.330","1.600","0.000","0.000",0,2007-02-01 03:20:00
"66838","0.358","0.162","243.530","1.600","0.000","0.000",0,2007-02-01 03:21:00
"66839","0.356","0.162","243.440","1.600","0.000","0.000",0,2007-02-01 03:22:00
"66840","0.386","0.184","243.530","1.800","0.000","0.000",0,2007-02-01 03:23:00
"66841","0.406","0.234","243.000","1.800","0.000","0.000",0,2007-02-01 03:24:00
"66842","0.404","0.238","243.800","1.800","0.000","0.000",0,2007-02-01 03:25:00
"66843","0.402","0.236","243.500","1.800","0.000","0.000",0,2007-02-01 03:26:00
"66844","0.400","0.234","243.130","1.800","0.000","0.000",0,2007-02-01 03:27:00
"66845","0.400","0.234","243.340","1.800","0.000","0.000",0,2007-02-01 03:28:00
"66846","0.398","0.236","243.510","1.800","0.000","0.000",0,2007-02-01 03:29:00
"66847","0.396","0.238","243.860","1.800","0.000","0.000",0,2007-02-01 03:30:00
"66848","0.392","0.234","243.030","1.800","0.000","0.000",0,2007-02-01 03:31:00
"66849","0.346","0.166","242.990","1.600","0.000","0.000",0,2007-02-01 03:32:00
"66850","0.258","0.000","243.120","1.000","0.000","0.000",0,2007-02-01 03:33:00
"66851","0.224","0.000","242.060","1.000","0.000","0.000",0,2007-02-01 03:34:00
"66852","0.224","0.000","241.770","1.000","0.000","0.000",0,2007-02-01 03:35:00
"66853","0.226","0.000","242.340","1.000","0.000","0.000",0,2007-02-01 03:36:00
"66854","0.228","0.000","243.260","1.000","0.000","0.000",0,2007-02-01 03:37:00
"66855","0.228","0.000","243.710","1.000","0.000","0.000",0,2007-02-01 03:38:00
"66856","0.230","0.000","244.830","1.000","0.000","0.000",0,2007-02-01 03:39:00
"66857","0.230","0.000","244.690","1.000","0.000","0.000",0,2007-02-01 03:40:00
"66858","0.230","0.000","244.550","1.000","0.000","0.000",0,2007-02-01 03:41:00
"66859","0.230","0.000","244.380","1.000","0.000","0.000",0,2007-02-01 03:42:00
"66860","0.230","0.000","244.400","1.000","0.000","0.000",0,2007-02-01 03:43:00
"66861","0.228","0.000","244.160","1.000","0.000","0.000",0,2007-02-01 03:44:00
"66862","0.268","0.000","244.210","1.400","0.000","0.000",0,2007-02-01 03:45:00
"66863","0.312","0.120","244.130","1.400","0.000","1.000",0,2007-02-01 03:46:00
"66864","0.312","0.120","244.220","1.400","0.000","1.000",0,2007-02-01 03:47:00
"66865","0.312","0.118","243.960","1.400","0.000","2.000",0,2007-02-01 03:48:00
"66866","0.312","0.116","243.480","1.400","0.000","1.000",0,2007-02-01 03:49:00
"66867","0.312","0.118","243.840","1.400","0.000","2.000",0,2007-02-01 03:50:00
"66868","0.314","0.120","243.920","1.400","0.000","1.000",0,2007-02-01 03:51:00
"66869","0.314","0.122","244.500","1.400","0.000","1.000",0,2007-02-01 03:52:00
"66870","0.314","0.122","244.600","1.400","0.000","2.000",0,2007-02-01 03:53:00
"66871","0.314","0.122","244.560","1.400","0.000","1.000",0,2007-02-01 03:54:00
"66872","0.312","0.120","243.910","1.400","0.000","2.000",0,2007-02-01 03:55:00
"66873","0.310","0.116","243.550","1.400","0.000","1.000",0,2007-02-01 03:56:00
"66874","0.310","0.116","243.580","1.400","0.000","1.000",0,2007-02-01 03:57:00
"66875","0.308","0.112","242.740","1.400","0.000","2.000",0,2007-02-01 03:58:00
"66876","0.412","0.228","242.720","2.000","0.000","1.000",0,2007-02-01 03:59:00
"66877","0.416","0.250","242.710","2.000","0.000","1.000",0,2007-02-01 04:00:00
"66878","0.410","0.248","242.320","2.000","0.000","2.000",0,2007-02-01 04:01:00
"66879","0.408","0.248","242.360","2.000","0.000","1.000",0,2007-02-01 04:02:00
"66880","0.406","0.246","242.120","2.000","0.000","1.000",0,2007-02-01 04:03:00
"66881","0.404","0.248","242.180","2.000","0.000","2.000",0,2007-02-01 04:04:00
"66882","0.402","0.248","242.220","1.800","0.000","1.000",0,2007-02-01 04:05:00
"66883","0.400","0.246","241.980","1.800","0.000","1.000",0,2007-02-01 04:06:00
"66884","0.398","0.246","242.090","1.800","0.000","1.000",0,2007-02-01 04:07:00
"66885","0.396","0.246","241.920","1.800","0.000","1.000",0,2007-02-01 04:08:00
"66886","0.396","0.250","242.610","1.800","0.000","2.000",0,2007-02-01 04:09:00
"66887","0.396","0.252","242.990","1.800","0.000","1.000",0,2007-02-01 04:10:00
"66888","0.432","0.280","243.060","2.200","0.000","1.000",0,2007-02-01 04:11:00
"66889","0.470","0.358","242.940","2.400","0.000","1.000",0,2007-02-01 04:12:00
"66890","0.428","0.296","243.070","2.200","0.000","2.000",0,2007-02-01 04:13:00
"66891","0.348","0.170","242.850","1.600","0.000","0.000",0,2007-02-01 04:14:00
"66892","0.304","0.094","242.730","1.200","0.000","0.000",0,2007-02-01 04:15:00
"66893","0.302","0.094","242.650","1.200","0.000","0.000",0,2007-02-01 04:16:00
"66894","0.302","0.096","243.080","1.200","0.000","0.000",0,2007-02-01 04:17:00
"66895","0.300","0.100","243.600","1.200","0.000","0.000",0,2007-02-01 04:18:00
"66896","0.298","0.096","243.050","1.200","0.000","0.000",0,2007-02-01 04:19:00
"66897","0.292","0.086","243.380","1.200","0.000","0.000",0,2007-02-01 04:20:00
"66898","0.228","0.000","243.820","1.000","0.000","0.000",0,2007-02-01 04:21:00
"66899","0.228","0.000","243.730","1.000","0.000","0.000",0,2007-02-01 04:22:00
"66900","0.230","0.000","244.260","1.000","0.000","0.000",0,2007-02-01 04:23:00
"66901","0.230","0.000","244.980","1.000","0.000","0.000",0,2007-02-01 04:24:00
"66902","0.230","0.000","244.950","1.000","0.000","0.000",0,2007-02-01 04:25:00
"66903","0.234","0.000","244.300","1.000","0.000","0.000",0,2007-02-01 04:26:00
"66904","0.250","0.000","243.730","1.000","0.000","0.000",0,2007-02-01 04:27:00
"66905","0.250","0.000","243.230","1.000","0.000","0.000",0,2007-02-01 04:28:00
"66906","0.226","0.000","242.830","1.000","0.000","0.000",0,2007-02-01 04:29:00
"66907","0.226","0.000","242.750","1.000","0.000","0.000",0,2007-02-01 04:30:00
"66908","0.226","0.000","243.000","1.000","0.000","0.000",0,2007-02-01 04:31:00
"66909","0.228","0.000","243.300","1.000","0.000","0.000",0,2007-02-01 04:32:00
"66910","0.228","0.000","243.400","1.000","0.000","0.000",0,2007-02-01 04:33:00
"66911","0.226","0.000","242.690","1.000","0.000","0.000",0,2007-02-01 04:34:00
"66912","0.226","0.000","242.310","1.000","0.000","0.000",0,2007-02-01 04:35:00
"66913","0.224","0.000","242.160","1.000","0.000","0.000",0,2007-02-01 04:36:00
"66914","0.224","0.000","242.130","1.000","0.000","0.000",0,2007-02-01 04:37:00
"66915","0.224","0.000","242.020","1.000","0.000","0.000",0,2007-02-01 04:38:00
"66916","0.226","0.000","242.490","1.000","0.000","0.000",0,2007-02-01 04:39:00
"66917","0.320","0.090","243.160","1.400","0.000","0.000",0,2007-02-01 04:40:00
"66918","0.338","0.128","243.110","1.400","0.000","0.000",0,2007-02-01 04:41:00
"66919","0.332","0.122","242.150","1.400","0.000","0.000",0,2007-02-01 04:42:00
"66920","0.330","0.124","242.260","1.400","0.000","0.000",0,2007-02-01 04:43:00
"66921","0.328","0.124","242.180","1.400","0.000","0.000",0,2007-02-01 04:44:00
"66922","0.326","0.122","242.010","1.400","0.000","0.000",0,2007-02-01 04:45:00
"66923","0.326","0.122","242.010","1.400","0.000","0.000",0,2007-02-01 04:46:00
"66924","0.324","0.120","241.670","1.400","0.000","0.000",0,2007-02-01 04:47:00
"66925","0.322","0.120","241.500","1.400","0.000","0.000",0,2007-02-01 04:48:00
"66926","0.320","0.120","241.370","1.400","0.000","0.000",0,2007-02-01 04:49:00
"66927","0.320","0.122","241.780","1.400","0.000","0.000",0,2007-02-01 04:50:00
"66928","0.320","0.124","242.270","1.400","0.000","0.000",0,2007-02-01 04:51:00
"66929","0.320","0.120","241.880","1.400","0.000","0.000",0,2007-02-01 04:52:00
"66930","0.318","0.120","241.810","1.400","0.000","0.000",0,2007-02-01 04:53:00
"66931","0.270","0.052","241.920","1.200","0.000","0.000",0,2007-02-01 04:54:00
"66932","0.224","0.000","241.680","1.000","0.000","0.000",0,2007-02-01 04:55:00
"66933","0.224","0.000","241.380","1.000","0.000","0.000",0,2007-02-01 04:56:00
"66934","0.222","0.000","240.580","1.000","0.000","0.000",0,2007-02-01 04:57:00
"66935","0.222","0.000","240.810","1.000","0.000","0.000",0,2007-02-01 04:58:00
"66936","0.288","0.048","241.040","1.400","0.000","0.000",0,2007-02-01 04:59:00
"66937","0.300","0.090","241.540","1.200","0.000","0.000",0,2007-02-01 05:00:00
"66938","0.300","0.088","241.420","1.200","0.000","0.000",0,2007-02-01 05:01:00
"66939","0.300","0.088","241.450","1.200","0.000","0.000",0,2007-02-01 05:02:00
"66940","0.298","0.086","240.860","1.200","0.000","0.000",0,2007-02-01 05:03:00
"66941","0.294","0.084","239.840","1.200","0.000","0.000",0,2007-02-01 05:04:00
"66942","0.294","0.082","239.500","1.200","0.000","0.000",0,2007-02-01 05:05:00
"66943","0.292","0.082","239.820","1.200","0.000","0.000",0,2007-02-01 05:06:00
"66944","0.292","0.082","239.820","1.200","0.000","0.000",0,2007-02-01 05:07:00
"66945","0.248","0.000","240.780","1.000","0.000","0.000",0,2007-02-01 05:08:00
"66946","0.222","0.000","240.920","1.000","0.000","0.000",0,2007-02-01 05:09:00
"66947","0.222","0.000","240.740","1.000","0.000","0.000",0,2007-02-01 05:10:00
"66948","0.222","0.000","241.150","1.000","0.000","0.000",0,2007-02-01 05:11:00
"66949","0.224","0.000","241.370","1.000","0.000","0.000",0,2007-02-01 05:12:00
"66950","0.224","0.000","241.710","1.000","0.000","0.000",0,2007-02-01 05:13:00
"66951","0.226","0.000","242.680","1.000","0.000","0.000",0,2007-02-01 05:14:00
"66952","0.226","0.000","243.110","1.000","0.000","0.000",0,2007-02-01 05:15:00
"66953","0.226","0.000","243.060","1.000","0.000","0.000",0,2007-02-01 05:16:00
"66954","0.226","0.000","243.010","1.000","0.000","0.000",0,2007-02-01 05:17:00
"66955","0.226","0.000","242.770","1.000","0.000","0.000",0,2007-02-01 05:18:00
"66956","0.224","0.000","241.510","1.000","0.000","0.000",0,2007-02-01 05:19:00
"66957","0.224","0.000","241.420","1.000","0.000","0.000",0,2007-02-01 05:20:00
"66958","0.300","0.062","240.770","1.400","0.000","0.000",0,2007-02-01 05:21:00
